"VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
1147,12520,10160,28,"10160_15_28","Colorado Plateau Pinyon-Juniper Woodland","Conifer",430,194,2245,126,29,65,6,"III-B",205,170,102,0.803922,0.666667,0.4,2784,0.1
1155,9603,10570,28,"10570_28","Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland","Conifer",499,202,-9999,144,29,71,-9999,"III-B",227,223,162,0.890196,0.87451,0.635294,2136,0.1
1156,20583,10590,28,"10590_24_28","Southern Rocky Mountain Pinyon-Juniper Woodland","Conifer",435,200,1930,128,29,64,7,"III-B",183,138,46,0.717647,0.541176,0.180392,4578,0.1
1160,15157,10700,28,"10700_10_19_28","Rocky Mountain Alpine Dwarf-Shrubland","Shrubland",228,-9999,-9999,228,100,-9999,-9999,"V-A",19,118,92,0.07451,0.462745,0.360784,3371,0.1
1165,13774,11070,28,"11070_25_28","Rocky Mountain Gambel Oak-Mixed Montane Shrubland","Shrubland",50,171,-9999,39,77,23,-9999,"III-A",115,255,223,0.45098,1,0.87451,3063,0.1
1173,12829,11430,28,"11430_9_19_21_28","Rocky Mountain Alpine Fell-Field","Grassland",525,-9999,-9999,525,100,-9999,-9999,"V-B",130,130,130,0.509804,0.509804,0.509804,2853,0.1
1175,11907,11450,28,"11450_22_24_28","Rocky Mountain Subalpine-Montane Mesic Meadow","Grassland",40,161,-9999,32,80,20,-9999,"II-C",0,197,255,0,0.772549,1,2648,0.1
1405,19783,10540,33,"10540_33","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",511,159,30,24,5,15,80,"I-C",168,56,0,0.658824,0.219608,0,4400,0.1
1416,14772,11470,33,"11470_27_33","Western Great Plains Foothill and Piedmont Grassland","Grassland",24,-9999,-9999,24,100,-9999,-9999,"II-C",137,205,102,0.537255,0.803922,0.4,3285,0.1
388,2022,10720,28,"10720_28","Wyoming Basins Dwarf Sagebrush Shrubland and Steppe","Shrubland",125,-9999,-9999,125,100,-9999,-9999,"IV-B",132,140,200,0.517647,0.54902,0.784314,450,0
389,2839,10930,28,"10930_13_15_16_23_24_28","Southern Colorado Plateau Sand Shrubland","Shrubland",220,-9999,-9999,220,100,-9999,-9999,"V-A",134,219,24,0.52549,0.858824,0.094118,631,0
879,2911,10110,22,"10110_22","Rocky Mountain Aspen Forest and Woodland","Hardwood",163,-9999,-9999,163,100,-9999,-9999,"IV-B",255,255,115,1,1,0.45098,647,0
881,1886,10490,22,"10490_16_22","Rocky Mountain Foothill Limber Pine-Juniper Woodland","Conifer",216,-9999,-9999,216,100,-9999,-9999,"V-A",102,205,171,0.4,0.803922,0.670588,419,0
882,24,10500,22,"10500_22","Rocky Mountain Lodgepole Pine Forest","Conifer",169,-9999,-9999,169,100,-9999,-9999,"IV-B",128,251,26,0.501961,0.984314,0.101961,5,0
883,552,10510,22,"10510_15_16_17_22_23_24_25","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",90,77,14,11,12,14,74,"I-B",190,210,255,0.745098,0.823529,1,123,0
884,258,10540,22,"10540_22","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",165,49,19,13,8,26,66,"I-B",168,56,0,0.658824,0.219608,0,57,0
885,24,10550,22,"10550_21_22","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",333,-9999,-9999,333,100,-9999,-9999,"V-A",211,255,190,0.827451,1,0.745098,5,0
888,458,10620,22,"10620_22_28","Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland","Shrubland",229,78,-9999,58,25,75,-9999,"III-A",191,19,230,0.74902,0.07451,0.901961,102,0
889,10,10660,22,"10660_22","Inter-Mountain Basins Mat Saltbush Shrubland","Shrubland",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",11,190,127,0.043137,0.745098,0.498039,2,0
