"ID","VALUE","weighted_pixels","hectares","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE"
"101800010401",7145,1327.01997033879,119.431797330491,"Rocky Mountain Subalpine-Montane Mesic Meadow",7145,2145,"He Rocky Mountain Subalpine-Montane Mesic Meadow","Herb","Grassland",601,"Alpine Dwarf-Shrubland, Fell-field and Meadow","SRM 409: Tall Forb","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,163,82,1,0.639216,0.321569
"101800010401",7146,1084.23997576535,97.5815978188813,"Southern Rocky Mountain Montane-Subalpine Grassland",7146,2146,"He Southern Rocky Mountain Montane-Subalpine Grassland","Herb","Grassland",617,"Grassland","SRM 410: Alpine Rangeland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",171,145,106,0.670588,0.568627,0.415686
"101800010401",7296,3.99999991059303,0.359999991953373,"Developed-Low Intensity",7296,2902,"Bau Developed-Low Intensity","Developed","Developed-Low Intensity",22,"Developed-Low Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",255,122,143,1,0.478431,0.560784
"101800010401",7297,1.99999995529652,0.179999995976686,"Developed-Medium Intensity",7297,2903,"Bau Developed-Medium Intensity","Developed","Developed-Medium Intensity",23,"Developed-Medium Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",253,44,79,0.992157,0.172549,0.309804
"101800010401",7735,5474.54987763427,492.709488987084,"North American Glacier and Ice Field",7735,12,"Ba Snow-Ice","Snow-Ice","Snow-Ice",12,"Snow-Ice","LF 12: Snow-Ice","Non-vegetated","Non-vegetated","Non-vegetated",159,161,240,0.623529,0.631373,0.941176
"101800010401",7900,5.99999986588955,0.539999987930059,"Western Cool Temperate Urban Deciduous Forest",7900,2913,"Dtd Urban Deciduous Forest","Tree","Developed",13,"Developed-Upland Deciduous Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Deciduous open tree canopy",112,68,137,0.439216,0.266667,0.537255
"101800010401",7901,1.39999996870756,0.125999997183681,"Western Cool Temperate Urban Evergreen Forest",7901,2914,"Dtc Urban Evergreen Forest","Tree","Developed",14,"Developed-Upland Evergreen Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Evergreen open tree canopy",170,102,205,0.666667,0.4,0.803922
"101800010401",7902,1.99999995529652,0.179999995976686,"Western Cool Temperate Urban Mixed Forest",7902,2915,"Dtm Urban Mixed Deciduous-Evergreen Forest","Tree","Developed",15,"Developed-Upland Mixed Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",194,158,215,0.760784,0.619608,0.843137
"101800010401",7903,6.99999984353781,0.629999985918403,"Western Cool Temperate Urban Herbaceous",7903,2916,"Dgr Urban Herbaceous","Herb","Developed",16,"Developed-Upland Herbaceous","LF 20: Developed","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",202,122,245,0.792157,0.478431,0.960784
"101800010401",7904,8.99999979883432,0.809999981895089,"Western Cool Temperate Urban Shrubland",7904,2917,"Dsh Urban Shrubland","Shrub","Developed",17,"Developed-Upland Shrubland","LF 20: Developed","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",207,171,215,0.811765,0.670588,0.843137
