"ID","VALUE","weighted_pixels","hectares","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE"
"101800010402",1149,74803.8883280028,6732.34994952025,"Rocky Mountain Lodgepole Pine Forest","Conifer",152,-9999,640,123,81,-9999,19,"IV-B",128,251,26,0.501961,0.984314,0.101961
"101800010402",1150,55.2699987646192,4.97429988881573,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",325,54,32,19,6,35,59,"I-C",190,210,255,0.745098,0.823529,1
"101800010402",1151,4.09999990835786,0.368999991752207,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Conifer",202,144,153,54,27,38,35,"III-A",115,149,230,0.45098,0.584314,0.901961
"101800010402",1152,79.8699982147664,7.18829983932897,"Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",505,159,24,20,4,13,83,"I-C",168,56,0,0.658824,0.219608,0
"101800010402",1153,19121.2195726074,1720.90976153467,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",199,435,-9999,137,69,31,-9999,"IV-B",211,255,190,0.827451,1,0.745098
"101800010402",1154,760.169983008876,68.4152984707989,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland","Conifer",199,435,-9999,137,69,31,-9999,"IV-B",56,168,0,0.219608,0.658824,0
"101800010402",1157,3016.29993258044,271.46699393224,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland","Hardwood-Conifer",78,73,126,29,37,40,23,"I-C",230,230,0,0.901961,0.901961,0
"101800010402",1160,107.729997592047,9.69569978328422,"Rocky Mountain Alpine Dwarf-Shrubland","Shrubland",228,-9999,-9999,228,100,-9999,-9999,"V-A",19,118,92,0.07451,0.462745,0.360784
"101800010402",1161,424.389990514144,38.195099146273,"Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush","Shrubland",72,-9999,-9999,72,100,-9999,-9999,"IV-A",255,190,232,1,0.745098,0.909804
"101800010402",1163,95.3299978692085,8.57969980822876,"Rocky Mountain Lower Montane-Foothill Shrubland","Shrubland",73,210,-9999,54,74,26,-9999,"III-A",137,68,101,0.537255,0.266667,0.396078
