"hex_id","VALUE","weighted_pixels","hectares","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE"
2,1144,970.219978313893,87.3197980482504,"Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",255,255,190,1,1,0.745098
2,1145,48.9999989047647,4.40999990142882,"Rocky Mountain Alpine/Montane Sparsely Vegetated Systems","Sparse",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",78,78,78,0.305882,0.305882,0.305882
2,1146,3505.07992165536,315.457192948982,"Rocky Mountain Aspen Forest and Woodland","Hardwood",145,1732,844,116,79,7,14,"IV-B",255,255,115,1,1,0.45098
2,1147,50.1999988779426,4.51799989901483,"Colorado Plateau Pinyon-Juniper Woodland","Conifer",430,194,2245,126,29,65,6,"III-B",205,170,102,0.803922,0.666667,0.4
2,1149,13155.5397059508,1183.99857353557,"Rocky Mountain Lodgepole Pine Forest","Conifer",152,-9999,640,123,81,-9999,19,"IV-B",128,251,26,0.501961,0.984314,0.101961
2,1150,1904.2499574367,171.382496169303,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",325,54,32,19,6,35,59,"I-C",190,210,255,0.745098,0.823529,1
2,1151,1801.61995973065,162.145796375759,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Conifer",202,144,153,54,27,38,35,"III-A",115,149,230,0.45098,0.584314,0.901961
2,1152,72.0999983884394,6.48899985495955,"Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",505,159,24,20,4,13,83,"I-C",168,56,0,0.658824,0.219608,0
2,1153,34496.4892289434,3104.6840306049,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",199,435,-9999,137,69,31,-9999,"IV-B",211,255,190,0.827451,1,0.745098
2,1154,415.639990709722,37.407599163875,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland","Conifer",199,435,-9999,137,69,31,-9999,"IV-B",56,168,0,0.219608,0.658824,0
2,1155,89.9999979883432,8.09999981895089,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland","Conifer",499,202,-9999,144,29,71,-9999,"III-B",227,223,162,0.890196,0.87451,0.635294
2,1157,18257.2295919191,1643.15066327272,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland","Hardwood-Conifer",78,73,126,29,37,40,23,"I-C",230,230,0,0.901961,0.901961,0
2,1160,74.9999983236194,6.74999984912574,"Rocky Mountain Alpine Dwarf-Shrubland","Shrubland",228,-9999,-9999,228,100,-9999,-9999,"V-A",19,118,92,0.07451,0.462745,0.360784
2,1161,73.9999983459711,6.6599998511374,"Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush","Shrubland",72,-9999,-9999,72,100,-9999,-9999,"IV-A",255,190,232,1,0.745098,0.909804
2,1163,12.9999997094274,1.16999997384846,"Rocky Mountain Lower Montane-Foothill Shrubland","Shrubland",73,210,-9999,54,74,26,-9999,"III-A",137,68,101,0.537255,0.266667,0.396078
2,1165,306.969993138686,27.6272993824817,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland","Shrubland",50,171,-9999,39,77,23,-9999,"III-A",115,255,223,0.45098,1,0.87451
2,1170,4030.03990992159,362.703591892943,"Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",49,-9999,-9999,49,100,-9999,-9999,"IV-A",230,0,169,0.901961,0,0.662745
2,1173,276.209993826225,24.8588994443603,"Rocky Mountain Alpine Fell-Field","Grassland",525,-9999,-9999,525,100,-9999,-9999,"V-B",130,130,130,0.509804,0.509804,0.509804
2,1174,1380.11996915191,124.210797223672,"Rocky Mountain Alpine Turf","Grassland",207,-9999,-9999,207,100,-9999,-9999,"V-A",93,43,29,0.364706,0.168627,0.113725
2,1175,17.9999995976686,1.61999996379018,"Rocky Mountain Subalpine-Montane Mesic Meadow","Grassland",40,161,-9999,32,80,20,-9999,"II-C",0,197,255,0,0.772549,1
2,1176,416.699990686029,37.5029991617426,"Southern Rocky Mountain Montane-Subalpine Grassland","Grassland",20,-9999,21,10,52,-9999,48,"I-B",167,205,178,0.654902,0.803922,0.698039
2,1178,496.629988899454,44.6966990009509,"Rocky Mountain Montane Riparian Systems","Riparian",270,-9999,79,61,23,-9999,77,"III-A",123,124,93,0.482353,0.486275,0.364706
2,1179,2157.72995177098,194.195695659388,"Rocky Mountain Subalpine/Upper Montane Riparian Systems","Riparian",273,-9999,80,62,23,-9999,77,"III-A",49,165,167,0.192157,0.647059,0.654902
3,11,88.999998010695,8.00999982096255,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
3,31,37.9999991506338,3.41999992355704,"Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",191,191,191,0.74902,0.74902,0.74902
3,388,24.9999994412065,2.24999994970858,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe","Shrubland",125,-9999,-9999,125,100,-9999,-9999,"IV-B",132,140,200,0.517647,0.54902,0.784314
